,open,high,low,close,volume
17/08/2017 05:00,301.13,302.57,298,301.61,125.66877
17/08/2017 06:00,301.61,303.28,300,303.1,377.67246
17/08/2017 07:00,302.4,304.44,301.9,302.68,303.86672
17/08/2017 08:00,302.68,307.96,302.6,307.96,754.7451
17/08/2017 09:00,307.95,309.97,307,308.62,150.75029
17/08/2017 10:00,308.62,312,308.62,310,469.27879
17/08/2017 11:00,310,310.97,308.54,309.3,284.3914
17/08/2017 12:00,308.3,310.68,307.78,308.95,273.2904
17/08/2017 13:00,308.95,310.51,307.98,308.62,401.79278
17/08/2017 14:00,308.62,309.72,307.77,309.4,310.58042
17/08/2017 15:00,307.77,308.71,305.49,306.5,710.25965
17/08/2017 16:00,306.5,308.76,303.56,307.06,459.41982
17/08/2017 17:00,307.74,312.18,298.21,308,596.81077
17/08/2017 18:00,308,308.33,303.98,308.33,191.94856
17/08/2017 19:00,308.33,311.53,298.96,309.1,203.6548
17/08/2017 20:00,309.1,309.84,301.6,301.6,215.63779
17/08/2017 21:00,301.6,309.4,299.01,304.79,272.42251
17/08/2017 22:00,304.79,309.4,304.04,307.44,330.54526
17/08/2017 23:00,308.57,310.74,303.44,306.74,368.36785
18/08/2017 00:00,306.74,310.85,302,302,229.6062
18/08/2017 01:00,302,306.2,297.4,301.19,501.26558
18/08/2017 02:00,300.08,305.55,295.19,298.73,374.41661
18/08/2017 03:00,298.73,304.7,298.73,300.52,208.96849
18/08/2017 04:00,300.05,306.47,300.05,301.4,605.93251
18/08/2017 05:00,301.4,302.95,298.41,301.8,444.33795
18/08/2017 06:00,301.8,305.92,300,304.7,525.33357
18/08/2017 07:00,304.7,307,303.21,307,356.1222
18/08/2017 08:00,307,309.49,305.23,306.24,406.73244
18/08/2017 09:00,306.24,310.85,303.79,304.23,313.23742
18/08/2017 10:00,304.23,307.72,303.22,304.71,306.05941
18/08/2017 11:00,304.73,311.06,304.73,308.88,332.5643
18/08/2017 12:00,308.88,311.79,306.27,307.78,261.1517
18/08/2017 13:00,307.78,310.29,305.73,308.47,388.17208
18/08/2017 14:00,307.17,309.66,301.3,303.22,357.19041
18/08/2017 15:00,303.22,303.22,296.32,298.52,398.64644
18/08/2017 16:00,298.52,300.99,297.32,298.8,214.98578
18/08/2017 17:00,298.8,301.11,295.64,299.21,403.96386
18/08/2017 18:00,297.5,299.21,293.18,295.53,359.12225
18/08/2017 19:00,295.53,298.25,289.75,289.75,412.39491
18/08/2017 20:00,289.75,295.6,287.37,293.83,445.23397
18/08/2017 21:00,295.46,295.46,288.25,291.87,748.21537
18/08/2017 22:00,291.87,291.87,283.94,286.3,602.03512
18/08/2017 23:00,288.01,294.19,284.02,293.74,477.84453
19/08/2017 00:00,293.74,294.18,289.97,293.96,93.91956
19/08/2017 01:00,293.31,297.15,293.31,295.44,86.0015
19/08/2017 02:00,297.15,298.2,294.24,297.19,41.96377
19/08/2017 03:00,297.19,299.84,296.56,299.84,87.48968
19/08/2017 04:00,298.64,298.64,292.83,293.22,66.73802
19/08/2017 05:00,294.69,297.19,291.87,291.87,42.9926
19/08/2017 06:00,297.17,299.9,291.87,293.23,35.01324
19/08/2017 07:00,293.69,295.56,289.02,289.02,45.0222
19/08/2017 08:00,289.02,292.17,287.01,290.16,112.26406
19/08/2017 09:00,290.16,290.16,287,288.4,148.37539
19/08/2017 10:00,287.66,293.17,287.66,290.3,228.92457
19/08/2017 11:00,291.36,292.24,283.58,287.14,447.45268
19/08/2017 12:00,285.97,287.15,278,282.58,314.27781
19/08/2017 13:00,281.39,290.85,279.56,290.85,166.32417
19/08/2017 14:00,290.16,290.16,286.36,286.36,20.94515
19/08/2017 15:00,285.5,288.64,283,283,13.81812
19/08/2017 16:00,283.88,288.64,283.01,288.64,87.2125
19/08/2017 17:00,288.64,290.16,286.12,286.14,61.94884
19/08/2017 18:00,286.19,293.15,284.16,293.15,11.12991
19/08/2017 19:00,294.33,295,288.95,295,41.13882
19/08/2017 20:00,292.64,293.38,291.99,293.31,13.16832
19/08/2017 21:00,290.6,291.85,288.8,290.31,13.80734
19/08/2017 22:00,289.9,293.25,289.9,293.25,25.0304
19/08/2017 23:00,293.25,294.9,290.91,290.91,35.15864
20/08/2017 00:00,290.91,290.91,290.91,290.91,0
20/08/2017 01:00,289.41,292.42,286.91,287,15.54493
20/08/2017 02:00,287.4,290.87,285.96,289.94,17.24852
20/08/2017 03:00,289.94,292.42,287.66,292.42,32.59927
20/08/2017 04:00,292.42,292.42,289.47,292.41,3.0082
20/08/2017 05:00,287.97,288.31,287.97,288.3,6.65904
20/08/2017 06:00,285.39,293.15,285.39,292.17,42.89756
20/08/2017 07:00,292.17,293.15,289,293.12,35.00818
20/08/2017 08:00,293.1,295.56,287.87,292.08,167.6975
20/08/2017 09:00,293.02,295.98,282.85,295.98,159.52169
20/08/2017 10:00,292.59,295.96,292.59,295.96,4.86604
20/08/2017 11:00,295.97,296.89,293.43,295.51,24.8355
20/08/2017 12:00,292.59,295.51,292.59,295,51.53645
20/08/2017 13:00,295,296.92,294.29,296.92,57.35344
20/08/2017 14:00,296.39,296.39,292.28,293.41,6.09547
20/08/2017 15:00,294.25,294.25,294.25,294.25,3.9
20/08/2017 16:00,295.16,295.16,295.1,295.1,0.01579
20/08/2017 17:00,295.1,297.92,293.28,296.46,74.02462
20/08/2017 18:00,296.46,298.79,293.63,296.88,100.71171
20/08/2017 19:00,296.88,300.53,295.89,298.57,41.00621
20/08/2017 20:00,298.57,298.57,294.91,297.88,145.82441
20/08/2017 21:00,297.87,297.88,294.51,297.27,260.07005
20/08/2017 22:00,297.27,298.3,295.19,298.13,353.55114
20/08/2017 23:00,298.13,299.52,297.6,298.19,422.41153
21/08/2017 00:00,297.68,300.53,297.19,299.1,483.75146
21/08/2017 01:00,299.1,300.9,295.76,300.7,370.66684
21/08/2017 02:00,300.7,300.7,294.6,299,213.50155
21/08/2017 03:00,299,299,294.6,297.51,71.7529
21/08/2017 04:00,299,299.85,297.12,299.85,67.88466
21/08/2017 05:00,300.03,304.83,299.11,303.91,275.6582
21/08/2017 06:00,303.91,314.28,303.91,314.05,256.5098
21/08/2017 07:00,314.05,329.49,313.28,321.79,232.70889
21/08/2017 08:00,320.28,325.3,313,318.5,123.69424
21/08/2017 09:00,317.48,324.3,312.75,318.72,21.51
21/08/2017 10:00,317.86,318.27,314.98,317.29,23.53728
21/08/2017 11:00,317.29,325.3,316.77,321.21,85.346
21/08/2017 12:00,318.99,333.66,312.6,331.53,76.98358
21/08/2017 13:00,331.33,331.33,325.42,331.3,94.82266
21/08/2017 14:00,331.3,346.52,329.41,346.52,402.39209
21/08/2017 15:00,344.38,345.31,328.68,334.17,379.94648
21/08/2017 16:00,334.17,338.34,329.47,334.94,350.27902
21/08/2017 17:00,334.34,338.34,333.25,338.33,276.92293
21/08/2017 18:00,337.95,342.72,330.8,332.33,509.09007
21/08/2017 19:00,332.12,333.63,316.82,316.82,503.65311
21/08/2017 20:00,328.47,332.33,327.7,329.71,425.40661
21/08/2017 21:00,332.27,332.74,320.88,325.28,289.46359
21/08/2017 22:00,324.05,326.8,318.42,326.79,58.45958
21/08/2017 23:00,325.79,325.79,318.45,318.45,29.83539
22/08/2017 00:00,318.25,323.29,316.12,323.29,79.41995
22/08/2017 01:00,321.04,330.41,318.72,323.04,406.3495
22/08/2017 02:00,323.04,325.07,302.27,309.97,169.73213
22/08/2017 03:00,309.96,315.2,301.4,312.99,143.49091
22/08/2017 04:00,310,317.68,280,280,90.0427
